cache_key,시설물 구분,시설물명,소재지 주소,행정동,lat,lon,geocode_status
장애인용 승강기␟더하우스비␟서울 서초구 방배동 913-30␟방배1동,장애인용 승강기,더하우스비,서울 서초구 방배동 913-30,방배1동,37.48161725,126.99538131,ok
장애인용 승강기␟데코아트빌7차␟서울 서초구 방배동 916-27␟방배1동,장애인용 승강기,데코아트빌7차,서울 서초구 방배동 916-27,방배1동,37.48141385,126.99437179,ok
장애인용 승강기␟동아타운␟서울 서초구 방배동 920-25␟방배1동,장애인용 승강기,동아타운,서울 서초구 방배동 920-25,방배1동,37.48248647,126.99365105,ok
장애인용 승강기␟동지빌딩␟서울 서초구 방배동 919-2␟방배1동,장애인용 승강기,동지빌딩,서울 서초구 방배동 919-2,방배1동,37.48248333,126.99236258,ok
장애인용 승강기␟디엠타워 2관␟서울 서초구 방배동 924-21␟방배1동,장애인용 승강기,디엠타워 2관,서울 서초구 방배동 924-21,방배1동,37.48344749,126.99597908,ok
장애인용 승강기␟디엠타워 3관␟서울 서초구 방배동 924-11␟방배1동,장애인용 승강기,디엠타워 3관,서울 서초구 방배동 924-11,방배1동,37.48363994,126.99585583,ok
장애인용 승강기␟디와이즈빌딩␟서울 서초구 방배동 901-10␟방배1동,장애인용 승강기,디와이즈빌딩,서울 서초구 방배동 901-10,방배1동,37.48633198,126.99590193,ok
장애인용 승강기␟래미안방배아트힐␟서울 서초구 방배동 1008-2␟방배3동,장애인용 승강기,래미안방배아트힐,서울 서초구 방배동 1008-2,방배3동,37.47767694,127.00511510,ok
장애인용 승강기␟로고스빌딩␟서울 서초구 방배동 902-2␟방배1동,장애인용 승강기,로고스빌딩,서울 서초구 방배동 902-2,방배1동,37.48556971,126.99550487,ok
장애인용 승강기␟로제빌␟서울 서초구 방배동 920-2␟방배1동,장애인용 승강기,로제빌,서울 서초구 방배동 920-2,방배1동,37.48317318,126.99303298,ok
장애인용 승강기␟멤버스뷰오피스텔␟서울 서초구 방배동 477-1␟방배3동,장애인용 승강기,멤버스뷰오피스텔,서울 서초구 방배동 477-1,방배3동,37.47738662,126.98746135,ok
장애인용 승강기␟명성팰리스␟서울 서초구 방배동 916-32␟방배1동,장애인용 승강기,명성팰리스,서울 서초구 방배동 916-32,방배1동,37.48190371,126.99405857,ok
장애인용 승강기␟방배 헬랜힐␟서울 서초구 방배동 921-20␟방배1동,장애인용 승강기,방배 헬랜힐,서울 서초구 방배동 921-20,방배1동,37.48284166,126.99395742,ok
장애인용 승강기␟방배1동초록꿈어린이집␟서울 서초구 방배동 916-7␟방배1동,장애인용 승강기,방배1동초록꿈어린이집,서울 서초구 방배동 916-7,방배1동,37.48120534,126.99396908,ok
장애인용 승강기␟방배3동주민센터␟서울 서초구 방배동 1023-3␟방배3동,장애인용 승강기,방배3동주민센터,서울 서초구 방배동 1023-3,방배3동,37.47843219,126.99998655,ok
